dir_name,subdir_num,table_num,time_delta,width_upper,height_upper,cell_width,cell_height,cell_same_size,Valid,Note
Data\13529,1,1,0,800,900,61,13,True,True,
Data\15752,1,1,0,800,900,61,13,True,True,
Data\1899,1,1,0,800,900,61,13,True,True,
Data\408771,1,1,0,800,900,61,13,True,True,
Data\408861,1,1,0,900,900,61,13,True,True,
Data\408923,1,1,0,800,900,61,13,True,True,
Data\415134_1,1,1,0,800,900,61,13,True,True,
Data\415134_2,1,0,,800,800,,,,False,no table image
Data\417511,1,1,0,900,900,61,13,True,True,
Data\417607,1,1,0,800,900,61,13,True,True,
Data\419024_1,1,1,0,800,900,61,13,True,True,
Data\419024_2,1,1,-105,800,900,61,13,True,True,
Data\419477,1,1,14,800,900,61,13,True,True,
Data\419790_1,1,1,26,800,900,61,13,True,True,
Data\419790_2,1,1,-100,800,900,61,13,True,True,
Data\420606_1,1,1,100,800,900,61,13,True,True,
Data\420606_2,1,1,64,800,900,61,13,True,True,
Data\420888,1,1,72,800,900,61,13,True,True,
Data\421067,1,1,125,800,900,61,13,True,True,
Data\421661,1,1,9,800,900,61,13,True,True,
Data\421730,1,0,,800,900,,,,False,no table image
Data\422241,1,1,61,800,900,61,13,True,True,
Data\422254,1,1,23,800,900,61,13,True,True,
Data\422489,1,1,156,800,900,61,13,True,True,
Data\422621,1,1,21,800,900,61,13,True,True,
Data\422690,1,1,14,800,900,61,13,True,True,
Data\422796,1,1,83,800,900,61,13,True,True,
Data\423293,1,1,74,800,900,61,13,True,True,
Data\423354_1,1,1,41,800,900,61,13,True,True,
Data\423354_2,1,1,0,900,900,61,13,True,True,
Data\423378,1,1,72,800,900,61,13,True,True,
Data\423384,1,1,15,800,900,61,13,True,True,
Data\424266,1,1,30,800,900,61,13,True,True,
Data\430348,1,0,,800,900,,,,False,no table image
Data\479303_1,1,1,24,800,900,61,13,True,True,
Data\479303_2,1,1,0,800,900,61,13,True,True,
Data\514026,1,1,204,800,900,61,13,True,True,
Data\524729_1,1,1,0,800,900,61,13,True,True,
Data\524729_2,1,1,-14,800,800,61,13,True,True,
Data\532286_1,1,1,0,800,900,61,13,True,True,
Data\532286_2,1,1,0,800,900,61,13,True,True,
Data\550724,1,1,0,800,900,61,13,True,True,
Data\559666,1,1,0,800,900,61,13,True,True,
Data\563205,1,1,0,800,900,61,13,True,True,
Data\574000,1,1,0,800,900,61,13,True,True,
Data\577477,1,1,0,800,900,61,13,True,True,
Data\592428_1,1,1,0,800,800,61,13,True,True,
Data\592428_2,1,1,0,800,900,61,13,True,True,
Data\600872,1,1,0,800,900,61,13,True,True,
Data\602260_1,1,0,,900,900,,,,False,no table image
Data\602260_2,1,0,,800,900,,,,False,no table image
Data\623753,1,1,0,800,900,61,13,True,True,
Data\624137,1,1,0,800,900,61,13,True,True,
Data\627337,1,0,,800,800,,,,False,no table image
Data\639827,1,1,0,800,900,61,13,True,True,
Data\646029_1,1,0,,800,900,,,,False,no table image
Data\646029_2,1,0,,800,900,,,,False,no table image
Data\652530,1,1,0,800,900,61,13,True,True,
Data\659300,1,0,,800,900,,,,False,no table image
Data\674179,1,1,0,800,900,61,13,True,True,
Data\674726,1,1,0,800,900,61,13,True,True,
Data\675597,1,1,0,800,900,61,13,True,True,
Data\676633_1,1,0,,800,900,,,,False,no table image
Data\676633_2,1,1,0,800,900,61,13,True,True,
Data\676958_1,1,1,0,800,900,61,13,True,True,
Data\676958_2,1,1,0,800,900,61,13,True,True,
Data\677627,1,1,0,800,900,61,13,True,True,
Data\678372,1,1,0,800,900,61,13,True,True,
Data\679674,1,1,0,800,900,61,13,True,True,
Data\679891,1,1,0,800,900,61,13,True,True,
Data\681509,1,1,0,800,900,61,13,True,True,
Data\681584,1,1,0,800,900,61,13,True,True,
Data\681916,1,1,0,800,900,61,13,True,True,
Data\682208,1,1,0,800,900,61,13,True,True,
Data\682363,1,1,0,800,900,61,13,True,True,
Data\683518,1,1,0,800,900,61,13,True,True,
Data\684919,1,1,0,800,900,61,13,True,True,
Data\684925_1,1,0,,800,900,,,,False,no table image
Data\684925_2,1,1,0,800,900,61,13,True,True,
Data\684947,1,1,0,800,900,61,13,True,True,
Data\684988,1,1,0,800,900,61,13,True,True,
Data\685283_1,1,1,0,800,900,61,13,True,True,
Data\685283_2,1,1,0,800,900,61,13,True,True,
Data\685391,1,1,0,800,900,61,13,True,True,
Data\685431,1,1,0,800,900,61,13,True,True,
Data\685739,1,1,0,800,900,61,13,True,True,
Data\685903,1,1,0,800,900,61,13,True,True,
Data\686228,1,1,49,800,900,61,13,True,True,
Data\686333,1,1,0,800,900,61,13,True,True,
Data\686365,1,1,0,800,900,61,13,True,True,
Data\686371,1,1,0,800,900,61,13,True,True,
Data\686515,1,1,0,800,900,61,13,True,True,
Data\686589,1,1,0,800,900,61,13,True,True,
Data\686598,1,1,0,800,900,61,13,True,True,
Data\686684_1,1,1,0,800,900,61,13,True,True,
Data\686684_2,1,1,0,800,900,61,13,True,True,
Data\686705,1,1,39,800,900,61,13,True,True,
Data\686792,1,1,0,800,900,61,13,True,True,
Data\686818_1,1,1,0,800,900,61,13,True,True,
Data\686818_2,1,1,0,800,900,61,13,True,True,
Data\686860,1,1,0,800,900,61,13,True,True,
Data\687595,1,1,0,800,900,61,13,True,True,
Data\687641,1,1,0,800,900,61,13,True,True,
Data\687773,1,1,0,800,900,61,13,True,True,
Data\687881,1,1,0,800,900,61,13,True,True,
Data\688247,1,1,0,800,900,61,13,True,True,
Data\688302,1,1,0,800,900,61,13,True,True,
Data\688732,1,1,0,800,900,61,13,True,True,
Data\691690,1,1,0,800,900,61,13,True,True,
Data\691806,1,1,0,800,900,61,13,True,True,
